fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231014 050027	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	457	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.144009349932312	0.928448027166014	427	36211	1001	-7007000	1
20231014 050602	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1046	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.136375932692317	0.362998275392747	274	44549	1001	-7007000	2
20231014 050835	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	170	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.230033150614472	0.43469820037295	799	18328	1001	-7007000	3
20231014 051515	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	916	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.069306200313149	0.505880842510232	518	12732	1001	-7007000	4
20231014 051710	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	232	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.189503480523708	0.870882786371076	853	20635	1001	-7007000	5
20231014 052406	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1754	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.116302648692508	0.22327967104764	651	42898	1001	-7007000	6
20231014 053124	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1053	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.0936291328346124	0.499375724474085	910	25023	1001	-7007000	7
20231014 053555	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	905	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.294883628580137	0.59785921024697	590	48627	1001	-7007000	8
20231014 053737	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	98	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.215959629852441	0.765088423177222	374	11961	1001	-7007000	9
20231014 054319	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1370	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.0813472415093565	0.190433228989568	135	25448	1001	-7007000	10
20231014 054510	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	316	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.268765001673019	0.997820594523801	98	37975	1001	-7007000	11
20231014 055151	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1917	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.0365933936461806	0.725405494565348	30	28777	1001	-7007000	12
20231014 055405	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.251414810518618	0.264501162336091	963	3035	1001	-7007000	13
20231014 055957	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1889	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.0511209268437233	0.0617947259280481	727	7445	1001	-7007000	14
20231014 060140	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	154	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.200720641564112	0.110882296324999	240	3941	1001	-7007000	15
20231014 060412	274	777275	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	518	1	1	1	FALSE	1	0.1	50	0.5	TRUE	191071	0.16327733889746	0.683723176262138	473	31593	1001	-7007000	16
