fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	learning_rate	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231117 021017	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.392530797584914	208	11651	10920	57294072.9635182	1
20231117 021335	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.315665651619202	509	3172	13428	81473325.3373313	2
20231117 021548	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.957000502257142	740	15684	9561	78614229.3853073	3
20231117 021942	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.55173118506209	416	6019	23170	63510569.7151424	4
20231117 022224	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.42077623049845	807	13227	7485	63700332.3338331	5
20231117 022405	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.86210464592441	559	9200	10851	85186848.075962	6
20231117 022620	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.777936380903702	134	16848	9444	75407302.3488256	7
20231117 023001	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.49746587194968	325	713	12391	95725608.6956522	8
20231117 023156	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.112530592118856	603	8269	20544	60561635.1824088	9
20231117 023402	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.688684853655286	926	19731	11178	73126393.8030985	10
20231117 023622	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.215703032922465	41	14897	12436	71989399.3003498	11
20231117 023915	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.732674492575461	965	3608	9323	77348975.0124938	12
20231117 024334	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	439	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.127155392205557	302	5001	13006	66856450.7746127	13
20231117 024630	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.450957700364	390	1098	11402	71778503.7481259	14
20231117 024917	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.57932186079648	944	6528	11348	58302870.5647176	15
20231117 025131	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.180182257394518	775	16527	8993	68494797.1014493	16
